loss,tp,fp,tn,fn,accuracy,precision,recall,auc,prc
0.888604462146759,3.0,82.0,13.0,0.0,0.16326530277729034,0.03529411926865578,1.0,0.9543859362602234,0.25793272256851196
0.7533645629882812,3.0,65.0,30.0,0.0,0.33673468232154846,0.04411764815449715,1.0,0.9789474010467529,0.4611324667930603
0.6884178519248962,3.0,53.0,42.0,0.0,0.4591836631298065,0.0535714291036129,1.0,0.9701754450798035,0.3179331421852112
0.6233125925064087,3.0,41.0,54.0,0.0,0.581632673740387,0.06818182021379471,1.0,0.9789474010467529,0.44683921337127686
0.5677839517593384,3.0,34.0,61.0,0.0,0.6530612111091614,0.0810810774564743,1.0,0.9824561476707458,0.48434507846832275
0.1358283907175064,3.0,6.0,89.0,0.0,0.9387755393981934,0.3333333432674408,1.0,0.9877193570137024,0.5494159460067749
0.14979924261569977,3.0,6.0,89.0,0.0,0.9387755393981934,0.3333333432674408,1.0,0.9842104911804199,0.5158567428588867
0.1437256634235382,3.0,6.0,89.0,0.0,0.9387755393981934,0.3333333432674408,1.0,0.9877192974090576,0.5494159460067749
0.20746490359306335,3.0,7.0,88.0,0.0,0.9285714030265808,0.30000001192092896,1.0,0.9964911937713623,0.9041059613227844
0.19286532700061798,3.0,5.0,90.0,0.0,0.9489796161651611,0.375,1.0,0.9912281036376953,0.7761220335960388
0.17759859561920166,3.0,5.0,90.0,0.0,0.9489796161651611,0.375,1.0,0.9929825067520142,0.8512376546859741
0.18581098318099976,3.0,7.0,88.0,0.0,0.9285714030265808,0.30000001192092896,1.0,0.9947367906570435,0.8759021759033203
0.18131518363952637,3.0,6.0,89.0,0.0,0.9387755393981934,0.3333333432674408,1.0,0.9964912533760071,0.9041059613227844
0.15513981878757477,3.0,5.0,90.0,0.0,0.9489796161651611,0.375,1.0,0.9964911937713623,0.9041059613227844
0.1856507807970047,3.0,7.0,88.0,0.0,0.9285714030265808,0.30000001192092896,1.0,0.9964911937713623,0.9041059613227844
0.1899648755788803,3.0,7.0,88.0,0.0,0.9285714030265808,0.30000001192092896,1.0,0.9964911937713623,0.9041059613227844
0.1603175401687622,3.0,6.0,89.0,0.0,0.9387755393981934,0.3333333432674408,1.0,0.9964911341667175,0.9041059613227844
0.1178661584854126,3.0,4.0,91.0,0.0,0.9591836929321289,0.4285714328289032,1.0,0.9964911937713623,0.9041059613227844
0.12465250492095947,3.0,5.0,90.0,0.0,0.9489796161651611,0.375,1.0,0.9964911937713623,0.9041059613227844
0.12219344079494476,3.0,4.0,91.0,0.0,0.9591836929321289,0.4285714328289032,1.0,0.9964911341667175,0.9041059613227844
