loss,tp,fp,tn,fn,accuracy,precision,recall,auc,prc
0.6324276924133301,14.0,26.0,59.0,0.0,0.7373737096786499,0.3499999940395355,1.0,0.928571343421936,0.48036128282546997
0.6399371027946472,14.0,27.0,58.0,0.0,0.7272727489471436,0.3414634168148041,1.0,0.9285714626312256,0.48036128282546997
0.6410222053527832,14.0,27.0,58.0,0.0,0.7272727489471436,0.3414634168148041,1.0,0.9289916157722473,0.4808000326156616
0.6136826276779175,14.0,26.0,59.0,0.0,0.7373737096786499,0.3499999940395355,1.0,0.928571343421936,0.48036128282546997
0.6349816918373108,14.0,27.0,58.0,0.0,0.7272727489471436,0.3414634168148041,1.0,0.928571343421936,0.48036128282546997
0.6414628624916077,14.0,27.0,58.0,0.0,0.7272727489471436,0.3414634168148041,1.0,0.9289916157722473,0.480800062417984
0.633987545967102,14.0,27.0,58.0,0.0,0.7272727489471436,0.3414634168148041,1.0,0.928571343421936,0.48036128282546997
0.6113710999488831,14.0,26.0,59.0,0.0,0.7373737096786499,0.3499999940395355,1.0,0.928571343421936,0.48036128282546997
0.3832233250141144,0.0,0.0,85.0,14.0,0.8585858345031738,0.0,0.0,0.9163865447044373,0.44477054476737976
0.6298769116401672,14.0,26.0,59.0,0.0,0.7373737096786499,0.3499999940395355,1.0,0.928571343421936,0.4803612530231476
0.3826870322227478,0.0,0.0,85.0,14.0,0.8585858345031738,0.0,0.0,0.9210084080696106,0.45837196707725525
0.66023850440979,14.0,31.0,54.0,0.0,0.6868686676025391,0.31111112236976624,1.0,0.9289915561676025,0.480800062417984
0.632975697517395,14.0,26.0,59.0,0.0,0.7373737096786499,0.3499999940395355,1.0,0.928571343421936,0.48036128282546997
0.6400431990623474,14.0,27.0,58.0,0.0,0.7272727489471436,0.3414634168148041,1.0,0.9285714626312256,0.48036128282546997
0.6142116785049438,14.0,26.0,59.0,0.0,0.7373737096786499,0.3499999940395355,1.0,0.928571343421936,0.4803612530231476
0.6355817914009094,14.0,27.0,58.0,0.0,0.7272727489471436,0.3414634168148041,1.0,0.928571343421936,0.48036128282546997
0.637870192527771,14.0,27.0,58.0,0.0,0.7272727489471436,0.3414634168148041,1.0,0.928571343421936,0.48036128282546997
0.634042501449585,14.0,26.0,59.0,0.0,0.7373737096786499,0.3499999940395355,1.0,0.928571343421936,0.48036128282546997
0.6108189821243286,14.0,26.0,59.0,0.0,0.7373737096786499,0.3499999940395355,1.0,0.928571343421936,0.48036128282546997
0.6147850751876831,14.0,26.0,59.0,0.0,0.7373737096786499,0.3499999940395355,1.0,0.928571343421936,0.4803612530231476
