loss,tp,fp,tn,fn,accuracy,precision,recall,auc,prc
0.45022764801979065,2.0,12.0,71.0,1.0,0.8488371968269348,0.1428571492433548,0.6666666865348816,0.8433734774589539,0.09701937437057495
0.7515177130699158,3.0,33.0,50.0,0.0,0.6162790656089783,0.0833333358168602,1.0,0.8674699068069458,0.11231912672519684
0.44693318009376526,2.0,12.0,71.0,1.0,0.8488371968269348,0.1428571492433548,0.6666666865348816,0.849397599697113,0.10102488100528717
0.43671315908432007,2.0,12.0,71.0,1.0,0.8488371968269348,0.1428571492433548,0.6666666865348816,0.8574296832084656,0.10349436104297638
0.4472362697124481,2.0,12.0,71.0,1.0,0.8488371968269348,0.1428571492433548,0.6666666865348816,0.8734939694404602,0.11375895887613297
0.7803893089294434,3.0,35.0,48.0,0.0,0.5930232405662537,0.07894736528396606,1.0,0.8614457845687866,0.10792632400989532
0.7450751662254333,3.0,33.0,50.0,0.0,0.6162790656089783,0.0833333358168602,1.0,0.8694779872894287,0.11338755488395691
0.4519512355327606,2.0,12.0,71.0,1.0,0.8488371968269348,0.1428571492433548,0.6666666865348816,0.8393574357032776,0.09437267482280731
0.44487592577934265,2.0,12.0,71.0,1.0,0.8488371968269348,0.1428571492433548,0.6666666865348816,0.8433734774589539,0.09644950926303864
0.4423735737800598,2.0,12.0,71.0,1.0,0.8488371968269348,0.1428571492433548,0.6666666865348816,0.8594377040863037,0.10480089485645294
0.44252175092697144,2.0,12.0,71.0,1.0,0.8488371968269348,0.1428571492433548,0.6666666865348816,0.8353413939476013,0.09263358265161514
0.7190030813217163,3.0,32.0,51.0,0.0,0.6279069781303406,0.08571428805589676,1.0,0.8755019903182983,0.1275271475315094
0.7619307637214661,3.0,33.0,50.0,0.0,0.6162790656089783,0.0833333358168602,1.0,0.8373494148254395,0.0970904603600502
0.4538904130458832,2.0,12.0,71.0,1.0,0.8488371968269348,0.1428571492433548,0.6666666865348816,0.8473895192146301,0.1002914309501648
0.45624762773513794,2.0,12.0,71.0,1.0,0.8488371968269348,0.1428571492433548,0.6666666865348816,0.8333333134651184,0.09079231321811676
0.4594978392124176,2.0,12.0,71.0,1.0,0.8488371968269348,0.1428571492433548,0.6666666865348816,0.845381498336792,0.09775282442569733
0.4410001039505005,2.0,12.0,71.0,1.0,0.8488371968269348,0.1428571492433548,0.6666666865348816,0.867469847202301,0.1094743013381958
0.4450480341911316,2.0,12.0,71.0,1.0,0.8488371968269348,0.1428571492433548,0.6666666865348816,0.849397599697113,0.10102488100528717
0.45295336842536926,2.0,12.0,71.0,1.0,0.8488371968269348,0.1428571492433548,0.6666666865348816,0.8614457249641418,0.10643638670444489
0.4379228949546814,2.0,12.0,71.0,1.0,0.8488371968269348,0.1428571492433548,0.6666666865348816,0.8393574357032776,0.09407734870910645
