loss,tp,fp,tn,fn,accuracy,precision,recall,auc,prc
1.2885160446166992,11.0,27.0,46.0,3.0,0.6551724076271057,0.28947368264198303,0.7857142686843872,0.8131115436553955,0.3456431031227112
1.4367954730987549,11.0,28.0,45.0,3.0,0.6436781883239746,0.28205129504203796,0.7857142686843872,0.8150684833526611,0.3545447587966919
1.6756874322891235,9.0,27.0,46.0,5.0,0.6321839094161987,0.25,0.6428571343421936,0.7783758044242859,0.3212054967880249
1.2313461303710938,11.0,25.0,48.0,3.0,0.6781609058380127,0.3055555522441864,0.7857142686843872,0.803816020488739,0.33046144247055054
1.732811450958252,9.0,27.0,46.0,5.0,0.6321839094161987,0.25,0.6428571343421936,0.7744618654251099,0.31795594096183777
1.20706307888031,11.0,26.0,47.0,3.0,0.6666666865348816,0.29729729890823364,0.7857142686843872,0.8067514300346375,0.3332846760749817
1.2567733526229858,11.0,27.0,46.0,3.0,0.6551724076271057,0.28947368264198303,0.7857142686843872,0.8077298998832703,0.34119391441345215
1.331316590309143,11.0,27.0,46.0,3.0,0.6551724076271057,0.28947368264198303,0.7857142686843872,0.8072406649589539,0.3409319519996643
1.2545393705368042,11.0,27.0,46.0,3.0,0.6551724076271057,0.28947368264198303,0.7857142686843872,0.8145792484283447,0.34672772884368896
1.2240408658981323,11.0,25.0,48.0,3.0,0.6781609058380127,0.3055555522441864,0.7857142686843872,0.8057729601860046,0.3316609859466553
1.8793931007385254,9.0,27.0,46.0,5.0,0.6321839094161987,0.25,0.6428571343421936,0.7588062286376953,0.3105718493461609
1.727846384048462,11.0,27.0,46.0,3.0,0.6551724076271057,0.28947368264198303,0.7857142686843872,0.7871820330619812,0.3274511992931366
2.253255844116211,9.0,27.0,46.0,5.0,0.6321839094161987,0.25,0.6428571343421936,0.7128180265426636,0.28732332587242126
1.8888826370239258,10.0,27.0,46.0,4.0,0.6436781883239746,0.2702702581882477,0.7142857313156128,0.7793542742729187,0.33621734380722046
1.2287311553955078,11.0,26.0,47.0,3.0,0.6666666865348816,0.29729729890823364,0.7857142686843872,0.8155577182769775,0.3544832468032837
1.6763142347335815,11.0,27.0,46.0,3.0,0.6551724076271057,0.28947368264198303,0.7857142686843872,0.7910959720611572,0.3296360671520233
1.8180906772613525,9.0,27.0,46.0,5.0,0.6321839094161987,0.25,0.6428571343421936,0.7651663422584534,0.3132706880569458
1.2671737670898438,12.0,27.0,46.0,2.0,0.6666666865348816,0.3076923191547394,0.8571428656578064,0.8209393620491028,0.35350698232650757
1.7219480276107788,10.0,27.0,46.0,4.0,0.6436781883239746,0.2702702581882477,0.7142857313156128,0.7837573289871216,0.3253231644630432
2.2012975215911865,9.0,27.0,46.0,5.0,0.6321839094161987,0.25,0.6428571343421936,0.7411937713623047,0.31179800629615784
