loss,tp,fp,tn,fn,accuracy,precision,recall,auc,prc
0.44541120529174805,3.0,7.0,87.0,0.0,0.9278350472450256,0.30000001192092896,1.0,0.9840425252914429,0.5
0.5135573148727417,3.0,7.0,87.0,0.0,0.9278350472450256,0.30000001192092896,1.0,0.9840425848960876,0.5
0.5151557922363281,3.0,7.0,87.0,0.0,0.9278350472450256,0.30000001192092896,1.0,0.9840425848960876,0.5
0.6189004778862,3.0,7.0,87.0,0.0,0.9278350472450256,0.30000001192092896,1.0,0.978723406791687,0.4285714328289032
0.5188212394714355,3.0,6.0,88.0,0.0,0.938144326210022,0.3333333432674408,1.0,0.978723406791687,0.4285714328289032
0.5288298726081848,3.0,5.0,89.0,0.0,0.9484536051750183,0.375,1.0,0.978723406791687,0.4285714328289032
0.4472825825214386,3.0,5.0,89.0,0.0,0.9484536051750183,0.375,1.0,0.9840425848960876,0.5
0.4514003098011017,3.0,5.0,89.0,0.0,0.9484536051750183,0.375,1.0,0.9840425848960876,0.5
0.49755382537841797,3.0,5.0,89.0,0.0,0.9484536051750183,0.375,1.0,0.9840425848960876,0.5
0.46502959728240967,3.0,5.0,89.0,0.0,0.9484536051750183,0.375,1.0,0.9840425848960876,0.5
0.4693666696548462,3.0,5.0,89.0,0.0,0.9484536051750183,0.375,1.0,0.9840425848960876,0.5
0.5376577377319336,3.0,5.0,89.0,0.0,0.9484536051750183,0.375,1.0,0.9840425848960876,0.5
0.5739224553108215,3.0,5.0,89.0,0.0,0.9484536051750183,0.375,1.0,0.9840425848960876,0.5
0.5183930993080139,3.0,4.0,90.0,0.0,0.9587628841400146,0.4285714328289032,1.0,0.9840425848960876,0.5
0.5051949620246887,3.0,4.0,90.0,0.0,0.9587628841400146,0.4285714328289032,1.0,0.9840425848960876,0.5
0.4575102627277374,3.0,4.0,90.0,0.0,0.9587628841400146,0.4285714328289032,1.0,0.9840425848960876,0.5
0.4594799280166626,3.0,4.0,90.0,0.0,0.9587628841400146,0.4285714328289032,1.0,0.9840425848960876,0.5
0.5340341925621033,3.0,4.0,90.0,0.0,0.9587628841400146,0.4285714328289032,1.0,0.9840425848960876,0.5
0.5465101599693298,3.0,4.0,90.0,0.0,0.9587628841400146,0.4285714328289032,1.0,0.9840425848960876,0.5
0.750050961971283,3.0,5.0,89.0,0.0,0.9484536051750183,0.375,1.0,0.9840425848960876,0.5
