loss,tp,fp,tn,fn,accuracy,precision,recall,auc,prc
0.8208680748939514,10.0,28.0,51.0,4.0,0.6559139490127563,0.2631579041481018,0.7142857313156128,0.8006329536437988,0.367462158203125
0.565117597579956,10.0,15.0,64.0,4.0,0.7956989407539368,0.4000000059604645,0.7142857313156128,0.8381555080413818,0.393890917301178
0.5394893884658813,9.0,13.0,66.0,5.0,0.8064516186714172,0.40909090638160706,0.6428571343421936,0.8354430794715881,0.3841542601585388
0.5396631956100464,9.0,13.0,66.0,5.0,0.8064516186714172,0.40909090638160706,0.6428571343421936,0.8358950614929199,0.38583940267562866
0.5334852337837219,9.0,13.0,66.0,5.0,0.8064516186714172,0.40909090638160706,0.6428571343421936,0.836347222328186,0.39440223574638367
0.5480603575706482,9.0,13.0,66.0,5.0,0.8064516186714172,0.40909090638160706,0.6428571343421936,0.8358951210975647,0.3870343863964081
0.5369789600372314,9.0,13.0,66.0,5.0,0.8064516186714172,0.40909090638160706,0.6428571343421936,0.8372513055801392,0.38940492272377014
0.5394183993339539,9.0,13.0,66.0,5.0,0.8064516186714172,0.40909090638160706,0.6428571343421936,0.8363471627235413,0.3858378231525421
0.5291398167610168,9.0,13.0,66.0,5.0,0.8064516186714172,0.40909090638160706,0.6428571343421936,0.8377034068107605,0.39376115798950195
0.5319521427154541,9.0,13.0,66.0,5.0,0.8064516186714172,0.40909090638160706,0.6428571343421936,0.8395117521286011,0.39845091104507446
0.551247775554657,9.0,13.0,66.0,5.0,0.8064516186714172,0.40909090638160706,0.6428571343421936,0.8358950614929199,0.3870343863964081
0.8071680665016174,10.0,26.0,53.0,4.0,0.6774193644523621,0.2777777910232544,0.7142857313156128,0.8033453822135925,0.35439640283584595
0.5447561740875244,9.0,13.0,66.0,5.0,0.8064516186714172,0.40909090638160706,0.6428571343421936,0.8386075496673584,0.3912816345691681
0.5450688004493713,9.0,13.0,66.0,5.0,0.8064516186714172,0.40909090638160706,0.6428571343421936,0.8349909782409668,0.3839452266693115
0.5521177649497986,10.0,13.0,66.0,4.0,0.8172042965888977,0.43478259444236755,0.7142857313156128,0.8386075496673584,0.3946044445037842
0.7369287014007568,10.0,21.0,58.0,4.0,0.7311828136444092,0.32258063554763794,0.7142857313156128,0.8155515789985657,0.38084080815315247
0.5460937023162842,9.0,13.0,66.0,5.0,0.8064516186714172,0.40909090638160706,0.6428571343421936,0.8358951210975647,0.38583940267562866
0.5433557033538818,9.0,13.0,66.0,5.0,0.8064516186714172,0.40909090638160706,0.6428571343421936,0.8363471627235413,0.38646963238716125
0.5469192862510681,9.0,13.0,66.0,5.0,0.8064516186714172,0.40909090638160706,0.6428571343421936,0.8367992639541626,0.38712242245674133
0.537636935710907,9.0,13.0,66.0,5.0,0.8064516186714172,0.40909090638160706,0.6428571343421936,0.8367992639541626,0.3891901671886444
