DATE,PN02312FM,PD37976BM,PN02028AM,PD37972BM,PD37974BM,Class
1995-03-01,0.018756782103161562,-0.006579047881104305,-0.0023895776502076416,-0.00030880816629608177,-0.004450677005540804,0
1995-04-01,0.018362234840576086,-0.006673699477285577,-0.002311456508435228,-0.0002647485197160293,-0.0044461635519663645,0
1995-05-01,0.017921836501197497,-0.006793977694202091,-0.0022347287826978146,-0.00020072721625252754,-0.004493660150101775,0
1995-06-01,0.01748916359395203,-0.0069222215113668994,-0.0021583708979386884,-0.00010789889827789167,-0.004589575990112671,0
1995-07-01,0.01707646780422678,-0.0070322554618003075,-0.0020823734883963496,1.5638460742817273e-05,-0.004722881573210991,0
1995-08-01,0.016694193652748268,-0.007121142204959963,-0.0020136243417496758,0.00016477603500275606,-0.004884055879214699,0
1995-09-01,0.016364084989492156,-0.007169414448746636,-0.0019567940974907216,0.0003489196946979689,-0.005055523062962308,0
1995-10-01,0.016116860716458348,-0.007174060753771805,-0.0019198372482343018,0.0005934168648278337,-0.005222733049903283,0
1995-11-01,0.01598964481554699,-0.007132249531228041,-0.0019069021373425699,0.0008754672542932163,-0.005327953048970713,0
1995-12-01,0.016059446683820866,-0.007015421598555616,-0.0019039939951230878,0.0011362858105830043,-0.005186666451123756,0
1996-01-01,0.016257753693732724,-0.00688488940501264,-0.0016961162676869534,0.0013551507394540252,-0.004474959841173742,0
1996-02-01,0.013579133063019277,-0.006293349593651243,0.0001939815872384898,0.005836788177266072,-0.0064035805196125395,0
1996-03-01,0.012247888688103004,-0.005936446672328177,0.0009131201104901621,0.008449603063291011,-0.008193557717030231,0
1996-04-01,0.011754708723911378,-0.00543568588345078,0.0015871050406559561,0.011791009941365616,-0.01061709987684889,0
1996-05-01,0.011810267334258384,-0.004582014391400602,0.0020797916871231337,0.015072948230585581,-0.012946849038075747,0
1996-06-01,0.011954813475798964,-0.0035433354890916924,0.002237027343354292,0.01809863720569549,-0.014575353571994576,0
1996-07-01,0.012239968684139235,-0.00149167560935215,0.002366338623219555,0.020880779158980012,-0.014646071294584395,0
1996-08-01,0.012548135355366696,0.0011464615686622714,0.002631854228756225,0.02329294394934056,-0.013169975568586345,0
1996-09-01,0.012791833461971436,0.003602500734209979,0.003151952706670791,0.024988999277047785,-0.010511257800595253,0
1996-10-01,0.012740173276457156,0.0057879511437488596,0.0037906916925889433,0.025591377551579253,-0.006831565178077703,0
1996-11-01,0.012390456055864973,0.007533560220044588,0.004333955960263758,0.025603402835849387,-0.0027253202850996416,0
1996-12-01,0.011849256870116065,0.008947648295698052,0.004846909631510243,0.025125121317106203,0.0013731554534803792,0
1997-01-01,0.01151115215824472,0.01013032727541141,0.005210723019514418,0.0240523055228401,0.005406290282394366,0
1997-02-01,0.01150051865600954,0.011051856600287291,0.005317693255181055,0.022368332218778875,0.00971259046267825,0
1997-03-01,0.011518660391493185,0.012276264004206894,0.00542172692859566,0.02021498973145608,0.014475486228260337,0
1997-04-01,0.01102836244706662,0.014008206201011841,0.0054597785635612794,0.01754803182389475,0.019243898691130745,0
1997-05-01,0.010364269716896857,0.01582861322758866,0.005394785644882383,0.014660824360847258,0.02310719868069011,0
1997-06-01,0.009637501721925013,0.01740152872103007,0.005329515709196819,0.011965951366704974,0.025319828935122857,0
1997-07-01,0.008626373101401796,0.01803299627106414,0.005157921719130876,0.009460260940187037,0.02577242829147597,0
1997-08-01,0.0074521326162839685,0.01774027568581449,0.004726863563842443,0.007254450401008583,0.024702674787736356,0
1997-09-01,0.006407040136576114,0.01705016884091526,0.0039919220956496915,0.005618717853706379,0.022324746412029306,0
1997-10-01,0.005588923221188757,0.01577000870024392,0.0029511870147098662,0.004358542476222915,0.018493679197645996,0
1997-11-01,0.005099499813606023,0.013848610174377107,0.0016516345761790063,0.002800280918150211,0.013473258429780977,0
1997-12-01,0.0047275799053823064,0.011340131763954542,7.767925588542113e-05,0.0007594996048667646,0.007835796231805858,0
1998-01-01,0.003959347090050969,0.008455289868387617,-0.0016434341273496855,-0.0014421682162630844,0.001967237465473559,1
1998-02-01,0.002933944909282893,0.0053664883467217095,-0.0033819774414469705,-0.003289604392858969,-0.004071370533615948,1
1998-03-01,0.0018395917277329588,0.00201384277924177,-0.005099629855829235,-0.004748930980591037,-0.010240554124732348,1
1998-04-01,0.0006414723574534875,-0.0021402631927314175,-0.006961488230436075,-0.005747489883414669,-0.016649626484896984,1
1998-05-01,-0.00045408312061478995,-0.006666470122917545,-0.00882302653736211,-0.006221212604090365,-0.023012851796798905,1
1998-06-01,-0.0013862753264666239,-0.010534456196717112,-0.010454745085277217,-0.006344576063836982,-0.028758003210620053,1
1998-07-01,-0.0022506065727911917,-0.013514765063984413,-0.011633228219622538,-0.006159694494108692,-0.03372815484859526,1
1998-08-01,-0.0029999104170554958,-0.015795373014909853,-0.012229887987864174,-0.005942183649128463,-0.03788992945980496,1
1998-09-01,-0.0035839655381657565,-0.01747450671450501,-0.012252689007501871,-0.005745517728013905,-0.0411423943309126,1
1998-10-01,-0.004106314275995615,-0.018325974540273293,-0.011767753247438506,-0.005544159189803999,-0.04345446827944244,1
1998-11-01,-0.004517471515343097,-0.017698645708569494,-0.010829499908108886,-0.004892494179279172,-0.04461781065499437,1
1998-12-01,-0.004650560866995335,-0.015500539546017489,-0.009504672412169235,-0.0033420701593303015,-0.044446590962381016,1
1999-01-01,-0.004620097054560901,-0.01257823383240586,-0.007839643882957326,-0.0010233581814600434,-0.04319191744448503,1
