DATE,INDPRO,PAYEMS,UNRATENSA,MPRIME,TOTALSA,Class
1976-12-01,0.004352821869709533,0.004096432879652667,0.012850142655225216,0.020660000900359243,0.0015055134080439458,0
1977-01-01,0.0043182604374356615,0.004088981054612972,0.01302433977394335,0.020078570019573583,0.0015542015730982683,0
1977-02-01,0.0042896693228051674,0.004082557656676755,0.01318652361723327,0.019537905911966913,0.0016438176423090312,0
1977-03-01,0.004266914862028237,0.004076460852013852,0.01333800928246065,0.019047308604036584,0.0017562295553119611,0
1977-04-01,0.00424773663227862,0.004069831401281476,0.013487800747534973,0.018619393782911553,0.0018674496505277638,0
1977-05-01,0.004230404482724381,0.004061990592248321,0.013643328315334546,0.018266471803148443,0.0019570203065897296,0
1977-06-01,0.004214343871780546,0.0040526142858414715,0.013811223478166212,0.017997958788718682,0.002016801919678901,0
1977-07-01,0.004198768773108874,0.00404140988911017,0.01400472054460944,0.017811709762846517,0.0020365568126048395,0
1977-08-01,0.004179880249153278,0.004027995677571283,0.014258506762835355,0.017689339902942303,0.0019840137425490845,0
1977-09-01,0.0041405442220163735,0.004013797128623153,0.014632732538605087,0.017540390857670785,0.001789658462763466,0
1977-10-01,0.00404111024302134,0.004022657269818097,0.015187347960110342,0.017018978413285035,0.0015760552420904794,0
1977-11-01,0.004437603071511198,0.004240649087273951,0.014324173921413497,0.020552276049325302,0.00477506621004764,0
1977-12-01,0.004612777749909203,0.0042807299126437215,0.01370524414279295,0.022489177718703512,0.005419856286440705,0
1978-01-01,0.004729946761219406,0.004282833852167656,0.013057504198000336,0.02410074324073186,0.005487403724746542,0
1978-02-01,0.004788741061567681,0.0042511121819206465,0.012374577248517538,0.025493636933138664,0.005053467104543685,0
1978-03-01,0.004822331744844366,0.004196795329630021,0.011547833670461527,0.026775367641468595,0.004293234325589701,0
1978-04-01,0.0048659065736611495,0.00413012209270569,0.010697251194645707,0.028004947729574958,0.003502396109865469,0
1978-05-01,0.0049194282583053806,0.004058406229683342,0.009899802094545329,0.029062652366861563,0.0028450501986525545,0
1978-06-01,0.004928588564876435,0.00398052158709028,0.009150402542325686,0.029714296432655107,0.002267744971370611,0
1978-07-01,0.004828936191042743,0.003882681040495939,0.00831740968169492,0.029797072083286746,0.0016467670110036359,0
1978-08-01,0.004628731892617921,0.0037648918960755395,0.007447783503972127,0.02936891149780063,0.0006919720804683394,0
1978-09-01,0.00433693502867083,0.0036271849123199473,0.006631984874691188,0.02865995016924172,-0.0009540368885594397,0
1978-10-01,0.0039532208058679075,0.0034705633283458326,0.005927767927837779,0.02785286661701747,-0.0030415653302293677,0
1978-11-01,0.0034550810704834234,0.003296439720587685,0.005216638842113097,0.02716040561061961,-0.005334008315060146,0
1978-12-01,0.00288480921812706,0.003109945254873736,0.004283603579054551,0.0267801321679908,-0.0074048363217014135,0
1979-01-01,0.002331067954689292,0.0029212243176726105,0.0032060856708233665,0.02686048684641218,-0.008980045882303944,0
1979-02-01,0.001833236789011039,0.002735848279796116,0.0020907034268544678,0.02722854090712934,-0.009961108192122481,0
1979-03-01,0.0013854834415423234,0.0025561897064481087,0.0009630566806486662,0.02736550960140427,-0.01030324179036457,0
1979-04-01,0.000987542082812709,0.002377758487185133,-0.0002368733599731332,0.02714672310755528,-0.010241803516851888,0
1979-05-01,0.0006390402142608664,0.0021988502158478695,-0.0015176065435471564,0.026894157365026317,-0.010449239228375706,0
1979-06-01,0.0003156986292722763,0.002017714431937989,-0.003006985684434582,0.0274007400341838,-0.011461526531814314,0
1979-07-01,-4.668618004322056e-05,0.00182527279955913,-0.004966826736190644,0.028698725661141733,-0.013270494587411807,0
1979-08-01,-0.0005323530185536995,0.0016030038279630787,-0.007664597605238743,0.029354575919031678,-0.015526815820410711,0
1979-09-01,-0.0011513054842309245,0.0013425360811183396,-0.010933995222518256,0.028038481443340313,-0.01738587580022033,0
1979-10-01,-0.0018509720209567426,0.0010502642708587473,-0.014454080507955158,0.024607041126023965,-0.01859517716132464,0
1979-11-01,-0.002529925506405739,0.000753168731236542,-0.01754911536773074,0.019686870402156664,-0.019416110546427667,0
1979-12-01,-0.0030584034657463732,0.00048325241640689853,-0.019622113668736674,0.01427923653808838,-0.01969905196339905,0
1980-01-01,-0.003334739958127386,0.0002709839468284514,-0.020645311535818944,0.009430459316247308,-0.019193508971089734,1
1980-02-01,-0.0032999665260859956,0.0001338362200389298,-0.020617058190437687,0.006350918729146393,-0.01821203540725458,1
1980-03-01,-0.0029767666361992795,7.412364504411073e-05,-0.019649156274624158,0.006124404495324587,-0.01732058881513332,1
1980-04-01,-0.002479857730798951,8.4639006026066e-05,-0.018219627106747183,0.008359089179231116,-0.01677891366330586,1
1980-05-01,-0.002002731235872801,0.00013214070994038707,-0.016743704677517846,0.011409135741526022,-0.01607556799834642,1
1980-06-01,-0.0016313558103053794,0.00018531044792347018,-0.015308886904571661,0.013372657616081973,-0.014532684198540036,1
1980-07-01,-0.001332622459805588,0.00023596154976246453,-0.01371823936397809,0.013628794096513186,-0.01246135435912299,1
1980-08-01,-0.0009844239034628721,0.0002941442247301751,-0.011835141812975625,0.01316416392250419,-0.01021620100613907,0
1980-09-01,-0.00047569655364254615,0.0003812727428424978,-0.009617199396740661,0.013051390005922592,-0.007985331168915533,0
1980-10-01,0.00023730787384579344,0.0005103427310704234,-0.00707884595956676,0.01389850777456969,-0.005462182411270167,0
1980-11-01,0.0011171092948503158,0.0006748326628933654,-0.004516021969193984,0.01609482425113029,-0.0024549459885498948,0
