"DATE","PN38063GM"
May01,9.24075367634935
Jun01,9.48972410095447
Jul01,9.19606264068008
Ago01,9.4914844759539
Sep01,9.54805083979688
Oct01,9.71633245341955
Nov01,9.45120342828156
Dic01,8.86143941652261
Ene02,9.32425639872332
Feb02,9.9702139392871
Mar02,10.6223477792936
Abr02,10.678082578049
May02,10.1933981668066
Jun02,9.87862181779218
Jul02,8.94782842520902
Ago02,8.71637844869638
Sep02,8.51836368383211
Oct02,8.49166133180331
Nov02,8.46421747806739
Dic02,8.6537074537974
Ene03,9.26243701931362
Feb03,9.47857056262343
Mar03,10.0264023092906
Abr03,9.86677925342218
May03,9.78824630001495
Jun03,9.27288642810231
Jul03,8.8729939253262
Ago03,9.26371690150895
Sep03,8.96587259461714
Oct03,9.24626056918512
Nov03,8.88978798790679
Dic03,9.39878116218544
Ene04,10.100353765887
Feb04,10.487664595618
Mar04,10.6377279708553
Abr04,10.4950581725371
May04,9.9994984610699
Jun04,9.45796065345332
Jul04,8.5927910149408
Ago04,8.71341908047126
Sep04,8.89016259388307
Oct04,9.2607224390148
Nov04,8.8613635051071
Dic04,8.73987399390105
Ene05,10.0064396502886
Feb05,10.7701170982917
Mar05,11.3147109043693
Abr05,10.2136733015722
May05,10.1073879284208
Jun05,9.66302828869847
Jul05,9.29034512844944
Ago05,9.20726887371232
Sep05,9.2876273407602
Oct05,9.0758896403875
Nov05,8.60781319767261
Dic05,8.03339270876064
Ene06,8.87161215688212
Feb06,8.96943698410571
Mar06,9.01404580073066
Abr06,8.70533819205463
May06,8.84469945695303
Jun06,8.94099710113056
Jul06,8.51572775085648
Ago06,8.43648900494099
Sep06,8.48563021642574
Oct06,8.1200275482011
Nov06,7.94284029566829
Dic06,7.44274882856833
Ene07,8.96481588228953
Feb07,9.48704044450345
Mar07,9.75332465115758
Abr07,9.02035182289368
May07,8.53319660574813
Jun07,8.28994265640185
Jul07,7.93334588965785
Ago07,7.91673952834759
Sep07,8.16074302585218
Oct07,7.92801120246543
Nov07,7.92573789854004
Dic07,7.45222279917704
Ene08,8.09870543227856
Feb08,8.96212527506614
Mar08,9.2946032706598
Abr08,8.99613433452443
May08,8.10265756339537
Jun08,7.89995941625573
Jul08,8.11536694078335
Ago08,8.37863133257389
Sep08,8.52183800519496
Oct08,7.90591362756106
Nov08,7.66209292261667
Dic08,7.77951957680301
Ene09,8.81285911559523
Feb09,9.30624936743544
Mar09,9.31312859264453
Abr09,8.7685325483283
May09,8.45965667095405
Jun09,8.49764632738254
Jul09,8.19947201217057
Ago09,8.30453709105596
Sep09,7.83074258205296
Oct09,7.6331796002941
Nov09,7.22130516121933
Dic09,7.91187533584095
Ene10,8.60543568200624
Feb10,9.5873811762248
Mar10,9.1774601912494
Abr10,9.00446955641761
May10,7.7355357827068
Jun10,7.58987156594884
Jul10,7.0438649512132
Ago10,7.40154109589041
Sep10,7.63983628922237
Oct10,7.86001268767181
Nov10,7.59071703080876
Dic10,7.15696057408548
Ene11,7.68296580377117
Feb11,9.12069109423254
Mar11,9.38629650286092
Abr11,8.80766062602965
May11,7.35192150106108
Jun11,7.30143906269899
Jul11,6.96677158368364
Ago11,7.01665505667785
Sep11,7.30554451718152
Oct11,7.31850485314773
Nov11,7.04553565805219
Dic11,6.98534760469708
Ene12,7.75539867109635
Feb12,8.31493593579136
Mar12,8.66013071895425
Abr12,8.05511173821924
May12,7.21934585074751
Jun12,6.28582225861309
Jul12,6.20804322976203
Ago12,6.66124423867025
Sep12,6.60230780385739
Oct12,6.22250026066104
Nov12,5.91418951021504
Dic12,5.63776142845334
Ene13,6.13019666417725
Feb13,6.40239496232064
Mar13,6.39137945216748
Abr13,5.61315256732716
May13,5.67018784167043
Jun13,5.7779331907191
Jul13,6.03026347989232
Ago13,5.56113559495747
Sep13,5.94146361389677
Oct13,5.76817096319882
Nov13,5.76669171863257
Dic13,5.68280778500111
Ene14,6.3690633850166
Feb14,6.97548449223609
Mar14,6.94800512738343
Abr14,6.2800474724921
May14,5.79973461263652
Jun14,5.67262925753492
Jul14,5.73526412400571
Ago14,5.89810157390881
Sep14,5.60720926906022
Oct14,5.69317951831613
Nov14,5.4230939627049
Dic14,5.55689634367081
Ene15,6.35327865540786
Feb15,6.89113852718015
Mar15,7.02557846529208
Abr15,6.80849360577982
May15,6.97665080607922
Jun15,6.82215392032785
Jul15,6.43811202114665
Ago15,6.14365971107544
Sep15,6.43850695486841
Oct15,5.83096746014414
Nov15,5.76137345800267
Dic15,5.68911511354738
Ene16,6.58975669195393
Feb16,6.90086847664502
Mar16,7.22208144090758
Abr16,6.9798943437119
May16,7.10830212234707
Jun16,6.97788312731404
Jul16,7.10088245120969
Ago16,6.81075548206764
Sep16,6.50809317015397
Oct16,6.19828228557983
Nov16,5.83645443196005
Dic16,6.24458936919259
Ene17,7.19526718143752
Feb17,7.73794666001037
Mar17,7.7339863483861
