"DATE","PN01755AM","PN01756AM","PN01757AM","PN01758AM","PN01759AM","PN01760AM","PN01761AM","PN01762AM","PN01763AM","PN01764AM","PN01765AM","PN01766AM","PN01767AM","PN01768AM","PN01769AM","PN01770AM","PN01771AM","PN01772AM","PN01773AM","PN38081AM","PN14206AM","PN01774AM"
Ene03,74.6016412375846,73.8284938472978,76.8683593137974,32.7853813454365,80.9415250205265,82.4075011992604,80.445093511023,69.8166052903977,84.3476024198632,64.6490088822767,77.8904759366522,53.2373476016558,71.4037894649841,75.2681610310308,73.6612366749001,73.2223697356532,78.6308991659921,71.3814368714476,74.9977524598527,n.d.,69.6420511871946,71.8917600542
Feb03,74.7150442124037,72.8095735976965,79.0458668902484,27.5203657646873,73.7896735500048,73.9366077657641,71.9251250773293,66.6300157099937,79.6477425519808,62.0005771469549,72.0715795994682,68.8255570058054,67.6980078798078,73.6122578224529,70.5102473961889,71.079432278923,73.6593735854095,70.2012825341531,75.8793511302686,n.d.,68.3659824181054,68.4801292058893
Mar03,83.1023187432748,84.0419119917507,80.7667030890189,27.3298396557132,78.4012143742259,78.7705384864045,81.2444985551342,70.7903814497278,88.8462963694686,64.3692335922702,79.1707115526162,60.1544492183547,73.3845124015385,75.4923855132763,76.0423599928254,74.3427231053258,79.8009175611007,72.4848854653019,76.0664104869628,75.6478380256947,77.5181528126826,74.4189768962683
Abr03,107.684572648198,127.096624711785,78.7992998857071,131.748153680528,78.2070375012415,78.8410379248643,79.1830385554258,77.9597639163837,120.522512264856,62.8233556213656,75.6704859481735,53.5697830998759,82.5702767351721,82.2128512997815,74.7896615075733,80.6677115046248,93.9125780933108,76.1594786292788,76.6881402309976,76.2113006160763,71.7496340575678,80.2200680600967
May03,126.906591224589,155.136959873481,81.9761854763602,116.353399878554,81.3985762072922,82.9645563661161,80.893904223708,78.5543890562541,113.737557297856,66.0423492965776,77.4153706314935,60.7824445908202,88.6827620324772,81.477216102329,77.4240622696819,83.222645844011,98.6268817534326,77.9794157758605,76.8605892287249,76.5383799822284,75.0392400268188,78.9036456279669
Jun03,122.099522651457,147.772789620839,81.9980478096472,81.2026708752669,82.0466946300576,83.9423502802049,80.3861365781506,75.1857862693653,100.396443641865,66.2202279306105,74.7555651404402,64.7082745084188,81.2003521317337,79.6386230045546,76.5896944130937,80.853774469805,94.5637443622346,76.1872316567688,77.8514251689058,77.1333848762094,76.5206591084712,75.5880985282574
Jul03,95.8281209730365,102.740230430421,81.2918981423447,45.4525390663007,80.7145896659133,82.3323173890006,78.9955827276138,75.9216000373103,97.8739774123788,68.1147698891515,76.4239885848282,60.3535296188839,72.7575069902996,83.3819969386293,75.5971535742438,79.2070171390158,86.1667823737854,76.8380810515145,77.4160368562841,77.3760170846383,75.4865876469385,75.9919046598337
Ago03,74.045065562754,72.1965356932292,78.7854259945311,19.6919097303793,81.2505580369208,83.383005326781,77.1012165079153,73.3844144269464,85.4845048654541,69.0813109763802,76.4279096740042,64.2072507312764,66.6165408334862,76.2453237362532,74.574296844367,74.2120138543618,78.4875512994432,72.7567241131912,78.1299096609216,77.7991238953705,80.5017868712492,70.2759922735169
Sep03,67.5873223620044,63.1929222832601,78.2473317396678,14.7594223783552,82.1062855908903,84.7245366423025,76.1230756800927,71.8940183430643,82.966214109677,67.9564606817571,74.2928766176722,71.1529029555506,65.6984714636781,76.1613014173934,74.6686846185575,73.8678353680876,76.8806845297014,72.8423342391861,78.3473506201243,77.96443237911,74.7388971882004,71.0010958050406
Oct03,69.3722117100031,65.4410410843354,77.5697242859349,71.5434314912398,85.7238232950828,89.2655902500764,78.871505427852,78.4005270841547,109.851642994867,67.215701145264,78.1551494560322,76.3967961949971,68.0578808367233,77.8791582554971,79.4763692565621,77.5989135108107,85.586237442723,74.8802212465454,78.9081423431176,78.4618008747212,73.0324198659638,75.1419139190041
Nov03,70.2380605279511,65.6467708685886,79.7187877282369,108.938867123079,81.202169970958,83.9277285523977,73.3768549734829,74.7432051416064,101.227698510156,65.3246379515613,76.0537724151275,74.7882533529708,66.6247391507822,76.3307940837322,76.3118345797324,75.5725386288336,82.8509682747221,73.0951368678738,75.2093042489586,77.4882657374002,78.7960087810703,74.3982879248333
Dic03,70.1201742560443,65.0765118724103,80.4873613794184,41.9633591119828,81.5237006707884,83.3385522625217,79.6677573797163,70.3058875557381,83.9873180496191,65.4404188994425,78.2933678494862,76.6478899690326,69.7557855211218,83.6651140278766,81.7531428408339,78.0097324133558,78.1128527118246,77.9746327529281,75.7521334867385,76.6231933596049,83.103808188108,73.3849800646594
Ene04,77.0413451542873,77.1154601991877,78.1207918230708,53.0802288221382,84.8079627109277,89.5294857995667,76.01091173072,75.2630939601143,89.7084332778356,70.1259596735087,79.882435984189,59.0900842287207,71.6874608042046,76.5209556675707,75.0310397174295,75.9132669251778,82.8955128231596,73.5366789625689,78.0919804714245,76.3511394023739,72.1201628467048,72.0651145822023
Feb04,77.2943557806866,76.4268333577453,79.929494570645,35.1792482075734,82.7265211746871,87.8560226487605,68.7084139697454,68.078169901146,71.3094963031665,66.9290271024947,76.3760973797697,70.695045699444,69.5255588040283,75.7380406251934,72.2061780670147,74.0974359154403,78.1174873988984,72.7291074285538,78.9393238783818,77.5944792788483,71.011297511027,70.0363047999778
Mar04,85.2176480431153,86.8040467044904,82.0898967768459,47.175421473586,83.8663547163451,88.6559697136424,73.4167553510373,76.3236538128872,87.4256320415594,72.3755047418789,82.796962427885,65.9567432871536,76.5841365209407,79.0698380654387,79.76750524778,78.6354629791467,83.7227773433651,76.903863969793,79.8571770952032,78.9628271483365,81.5301409982886,75.6338669469313
Abr04,104.261159259789,121.257165119673,80.9370021884104,128.643590535406,84.7956861439344,90.2476765050148,71.5335627864306,80.2846660487549,111.142850984279,69.310701618565,79.819428112005,58.2947921853891,85.720270501131,85.8350195631402,78.9647555125249,84.0944721319617,95.1418019945793,80.3342277128909,80.3320593433007,79.7095201056286,73.7776597647181,84.5514570983217
May04,124.687954084564,151.505614609082,83.2393390720516,169.824540008755,81.4239007331606,85.1922173396879,73.9837149598315,84.4481484550951,122.274975632895,70.9959555661269,81.4754465327581,63.4813823861364,93.1392517023295,84.0537633126826,82.6096693805141,86.5105702285255,101.133795567675,81.5331773060582,80.2772246303401,80.155487022948,77.239981962033,83.2724653184862
Jun04,111.326384719346,132.135288175916,80.9183805102417,131.150535615444,82.4493428980755,86.203138946889,76.4456354502735,82.5834937951109,111.020098157535,72.4707057150387,78.1709970266458,69.0811353670267,83.6014376607915,81.428254645748,79.4428166906784,83.2874590103565,95.5274694561459,79.1212549103149,80.1429365509057,80.2507401748488,79.5306842622547,81.0174132990054
Jul04,91.4108217822557,96.753403125035,80.982515149733,99.7125524986147,80.8727865880964,83.616851248634,78.9463476818003,85.7806873831811,122.835837291994,72.6029227834703,79.2790778783011,61.8854826401362,75.4840567757115,84.3204918108426,79.9098413060357,82.1067513163865,91.0578608580909,79.0600096949037,80.5521198262066,80.3240936691508,77.954521052819,74.3663145749366
Ago04,74.3668713762856,72.2420847332332,80.470485896005,24.9126758042531,87.5295230248878,92.2965742397519,82.0329292274396,73.8683600324189,73.7372555816953,73.9149841479296,80.9235503538896,67.4547474511982,71.1691213427733,79.2548500560177,79.8775860612184,77.5146229152149,80.260079904651,76.5801356272722,81.0672958196555,80.5874507322559,83.2372906107241,71.6038186724628
Sep04,68.9664659776674,64.5934241682979,80.3697370941359,24.6616038063277,86.8227882774058,90.2763489200132,88.3969802526671,74.825321406997,73.7228254144598,75.2173973450929,79.6244665807968,75.2143761571227,70.5903057992929,78.8971880826807,79.5571697219734,77.4025938277684,78.5819676576875,77.0011634443996,81.9775661948105,81.1989939468909,78.0604429956463,70.6862008824173
Oct04,70.3612846285754,65.9410470553157,80.5087538562352,59.9011531116999,90.0849197545454,93.3830813423892,96.8939539314487,82.3688430832875,104.388458923278,74.5381012072052,81.9973232541986,61.2161766897545,71.8487460807457,79.9950979919894,83.2921561831059,79.6324551624725,87.0126560359269,77.1204129322558,81.847518289263,81.6307934345763,74.1576501605108,73.8426400137585
Nov04,73.9687711522687,70.3062977094383,82.0366754402872,141.791748474372,87.7099010625599,90.9648570113052,91.6598945146384,85.000568392936,117.387860809798,73.482814004095,81.1284084095246,83.2632420560525,77.3307944200611,81.2912726914381,83.5703487692015,82.7195635167179,91.1204777639931,79.8600950925601,81.5271694080385,81.784084630704,83.4456122242599,79.3274809566635
Dic04,72.3016443842153,67.1546432852943,83.6975270698577,93.1037574793936,92.0824562083228,97.3942400946002,89.2534110843147,80.548177300485,97.0954583537655,74.6635384575175,85.2832992480476,87.6673562148355,78.1121718171442,88.3942824116933,89.4203678838747,85.6503020745209,88.3200989080825,84.7415676773139,82.7227971483994,82.032494948567,88.612139247229,77.3306851055155
Ene05,76.501655351765,74.7388268480279,81.0679024440729,54.8423484685848,91.4082474417138,91.9290639959359,92.6471381708677,77.842082963265,91.2749836193702,73.0649979110371,84.5940525102936,69.6076735900603,76.5817266465466,79.4020407963541,81.3741766171064,79.9791610934839,86.818418015749,77.6512431266671,83.076185978987,82.4420508451416,74.8459647055629,73.1956273116714
Feb05,78.4237178162525,75.818978097879,84.4187768494259,51.4602221538838,87.3218931438176,87.0873363685122,87.7895106275405,75.9938098034058,81.822488011258,73.9209818823327,78.093037578323,73.465116322384,75.2921731964217,82.3941976301343,80.0825466671406,80.1344599066734,83.248575710482,79.0744900571954,84.7443785929493,83.5144539067786,75.181091838251,75.2727311948434
Mar05,85.9578127706022,86.0311663098869,85.594089994545,44.8468581481624,90.892913652851,91.0092017755249,93.9181425357435,78.2110364815498,88.2946587503443,74.6250409884113,86.567657408922,62.3503327507624,79.2428026270199,81.2055458251077,85.4272712472704,81.3964129865707,87.9492105580074,79.1659988680718,82.4383166663078,83.4196270794147,83.824884525315,74.4187591951114
Abr05,110.07950338947,128.267898263122,84.2083044383135,144.512163946759,88.5441161146505,87.5682943751354,95.1331582895093,85.7772221487928,113.898262930598,75.7766565962743,84.692732755225,60.2565245006331,92.7853090366767,84.4754926151892,87.0563694057267,87.0734470255748,99.5600426557571,82.8233112809667,84.5379693056899,83.9068881883157,76.6670617718555,84.6102573872484
May05,125.498206695065,150.009039802385,88.6138947750823,196.737658517228,89.652138212411,88.8630367489441,96.5605542556777,92.6574501608584,131.675314262232,78.7816939008867,87.1267354521121,64.0185939002305,97.5757595678435,88.2605015713804,91.1527382858758,92.1414551036507,108.363272434388,86.6199400548878,85.4047286850945,84.1270048856974,81.683332013803,87.1982982554949
Jun05,121.466882677307,144.762354689025,86.4443172547801,124.021864934438,92.1989274061633,92.1306243653826,98.0652927440505,87.7057599378806,112.92156369009,78.738371414104,82.3805127017482,65.9860345993451,86.5812538433774,85.7821720430614,85.9091761327604,88.4557729993011,103.538215561639,83.3220736188835,85.2863565757417,85.0763515221754,82.6274146030733,81.7268330166644
Jul05,99.2818522636125,104.586669159116,88.6852251122442,83.7547422338143,95.1653309352853,95.6973672932915,101.27492761444,87.8656443251561,119.452795047635,76.6324409075278,83.203288121862,63.7867458477556,77.7130867777446,88.54645234588,85.4788456402854,87.2766006292957,99.9446413895922,82.9647053422131,85.9444109656823,85.5451654088395,81.6079729900293,78.4967193077296
Ago05,76.1606710675312,71.6548267662022,87.2716860951858,27.8197968404813,95.5372204542707,96.42503303809,99.9688347886806,83.1127270358401,82.8659195343535,83.2004981328141,85.7524727768798,72.2653164652512,75.1373894175838,82.9307535301389,86.7835997480336,82.9894831129745,86.8505739307876,81.6752609995989,85.6791195518041,85.636629031076,87.4507543835692,76.3061585247566
Sep05,71.0688479233177,64.9074225165049,86.0698209160661,19.8710369786659,94.9804814969193,97.3738651977569,89.5104821984285,79.9538817323311,78.2012327796998,80.5771687890706,84.2092325584874,81.5947066913988,73.1217440465736,82.8456376280535,84.9718984429187,82.0878665294671,84.3120849536089,81.3307962672244,86.5245707615074,86.0493670929979,83.081382394732,74.8347322098581
Oct05,71.3949551473975,64.1013998470694,87.7501553826157,27.1727319075434,103.906471662891,108.51353341375,96.6880529788141,82.3449844130297,88.9266501688644,80.0043747483057,87.8132067212003,74.4785057033563,76.1182627245767,84.8063994759038,87.7862144612135,84.8027239326644,91.4772825204683,82.5308653033246,87.1234289716052,86.4423730949722,79.9709579543806,79.8119879662829
Nov05,73.2371666077331,65.5575264688601,90.21087907822,225.469505952483,98.3523400473469,102.105640650754,89.0323505037078,97.2169828373926,145.403880456621,80.0804823731068,86.848846601837,98.5579123778339,80.6348758099599,85.9899865626188,91.9523187310927,90.4951176179881,104.181942255898,85.8364528908983,89.0875532678117,87.5785176669748,88.9089152403591,86.1662854262967
Dic05,77.1758958023992,71.1877553271001,89.9446369082671,58.3743186489208,102.589906357505,107.249986202428,93.3178300851329,83.2100110262145,95.1948626686145,78.9478894562127,89.9716308076602,108.504568703511,81.6961768982319,93.9886442922524,93.3711465994574,91.5459266918293,94.0694520443626,90.6869795759876,87.9121131862351,88.0410318085507,98.5305683471785,78.9587915722309
Ene06,79.1106073106516,75.6080895818656,86.8702400071036,64.3497475064274,96.3418337164544,97.1248298795677,96.8871614636345,85.6208265006167,92.8020206507227,83.0670091152387,90.9877795207606,74.7090080884139,81.5666101548408,84.9112442143945,87.8586103007356,85.6590424919578,90.7577249061256,83.9235740728093,89.6057266309361,88.868464361661,81.0216115197202,83.8542546510497
Feb06,80.8804756031766,76.4376397959151,90.2703612499325,50.6247555207737,88.5481351436702,87.6894626354309,88.8465454060811,79.5215050787083,80.3973174855597,79.2100436554138,84.5709120351826,79.4375015435837,81.7911563339325,88.1600875477371,84.6226859215443,84.6285220854951,84.2514566745702,84.7568660495739,89.9481239292913,89.1553212488208,81.0305177515415,82.1276855051998
