DATE,PN02312FM,PN38705PM,PN02028AM,PD37972BM,PD37974BM,PD37976BM,Recesion
1995-02-01,1272.22647303687,38.4338941025897,55.7679465343683,31.0357814860436,59.4935831990473,42.8268148677755,0
1995-03-01,1495.85734538762,38.961214848278,59.3443440955769,30.1367088639283,70.994500914248,52.0616859978489,0
1995-04-01,1650.98024502702,39.344814645658,52.7433366613744,29.452419314285,70.8731382805422,45.1821631217616,0
1995-05-01,1567.14185690919,39.673229503918,63.5509771906586,30.8980287334407,72.0919642392864,51.8920593875331,0
1995-06-01,1452.24377547692,39.9940724638791,62.7331999974066,32.8934395018826,69.7703638956947,47.7123135611689,0
1995-07-01,1528.47896172244,40.222100129075,63.954793316693,31.0258151844686,86.7221116346275,45.4396840224774,0
1995-08-01,1525.14180621517,40.6395169060839,64.1080404272834,28.713408674134,82.4568021889751,54.1978377283486,0
1995-09-01,1492.17379827406,40.7986114811906,59.5774531497547,33.9031526938172,69.4774144346854,50.3671729463087,0
1995-10-01,1583.55441337011,41.0063036869201,57.6240884817877,35.95369606029,69.757216695345,47.7871916257868,0
1995-11-01,1580.401751778,41.5160379089848,58.3845074673922,33.7187846205107,87.9455221111491,47.5444180469465,0
1995-12-01,1826.51069023638,41.7336780823374,56.4219940931724,31.9269079947624,83.8452932886099,43.7852976533679,0
1996-01-01,1732.13266916693,42.2522312572031,58.5251346202207,27.0409347385872,69.4949691537799,45.4867989342734,0
1996-02-01,1509.25471581674,42.9002836819856,55.8917805993796,28.4011492052948,59.0655011978945,40.1962069528469,0
1996-03-01,1577.77548618954,43.4923762718663,54.4373619991241,32.4058208590812,60.8056140356533,42.9194638568084,0
1996-04-01,2423.55313131304,43.87130378097,53.7900606411418,28.1215156347755,70.8935274776643,42.6940304512421,0
1996-05-01,1773.95996113729,44.1904664113681,62.2196575030019,31.4152496042528,69.5760873709379,50.3234410947334,0
1996-06-01,1705.5654049864,44.3961623578029,59.3192917665308,30.5154395786139,67.1250346676919,41.0608526015977,0
1996-07-01,1824.85051731039,45.0061657332517,63.2187519164916,34.5558182501851,80.3836423140438,45.8846546212686,0
1996-08-01,1827.12039967415,45.4221771437171,63.8276456400573,34.0764965558659,70.5378038003575,46.7680798079933,0
1996-09-01,1679.63424967911,45.5694017874693,62.2856729161912,33.5175173831469,63.5746579638496,44.2898244301782,0
1996-10-01,1819.91716829458,45.9041338516646,60.3320966529286,38.8421025370134,69.3361829148986,48.6147024522085,0
1996-11-01,1793.34581846948,46.1189535710152,59.7929973791639,40.2522024027132,72.4099592412499,46.0840284236238,0
1996-12-01,2015.13040233556,46.6749433775806,60.1248241005186,41.5529469021602,63.9426154822581,40.7531106536094,0
1997-01-01,2129.95755195534,46.8995048422897,60.2744616626692,41.2982585697535,48.7406947903532,42.8003117191235,0
1997-02-01,1876.64650668039,46.9412138160557,56.4105455932224,36.4612105305768,47.4247189053637,40.8543158740511,0
1997-03-01,1926.47687811233,47.5392549114592,54.6834304849883,42.5554745178454,52.2050221980723,42.1666647357541,0
1997-04-01,2473.94855676033,47.7233502907981,58.2456759185295,40.9299857803516,73.3900817356186,54.2866925993941,0
1997-05-01,2019.60970005876,48.0837164073912,64.2451604091413,41.9578088873498,73.2651550148138,53.5995056890409,0
1997-06-01,2117.99639529333,48.6059947756888,65.6159666945626,47.988924331045,67.0316104584818,47.0217269196388,0
1997-07-01,2017.99906121595,49.0087954629047,66.7636341300077,43.0534540386569,80.6149386360159,49.8217923756263,0
1997-08-01,2136.22290165936,49.119921489448,65.810050667314,45.7148515686864,76.3365590493891,52.8799520372972,0
1997-09-01,2021.44061769721,49.2635861953205,66.610900236859,43.6806197170209,77.7915891782333,54.422038126336,0
1997-10-01,2092.21277871048,49.3382310172215,65.187263295185,48.2241829737491,82.4743547523859,56.1878348986865,0
1997-11-01,2109.56957595822,49.3765411425534,63.4779109890474,45.2682659803757,98.3345400948657,52.0584645927661,0
1997-12-01,2210.25874222009,49.691557802778,65.7437997006702,51.9331251472769,96.3618759463707,53.121002799557,0
1998-01-01,2323.55265748856,50.1419166770814,64.8541218355179,39.5379465202419,84.9080395126857,57.7333779561729,1
1998-02-01,2020.02128894487,50.7609674468296,59.6996613660896,40.0810675633806,73.474028163842,52.4739035307644,1
1998-03-01,2194.72208841869,51.4304225486563,60.9815612692216,44.0105192659369,73.4128345861177,59.9286186755191,1
1998-04-01,2478.29742783122,51.7447184724816,60.0307959481537,42.1079508919392,84.5889130017988,57.8947031024383,1
1998-05-01,2144.0091833731,52.0518042549097,63.7263599154609,45.7840624055733,80.7714907688531,54.5785042055352,1
1998-06-01,2132.88853916929,52.3278782359875,64.1662178732897,46.5745074674326,83.4858998195672,62.1854097867155,1
1998-07-01,2133.52907006704,52.6565319510118,63.0490753610518,46.3537418234659,80.9884566144222,57.9646607159195,1
1998-08-01,2262.18159719567,52.7957764180424,64.2587598062934,39.1236543133501,67.6080208132328,59.1686588690649,1
1998-09-01,2197.32609806472,52.511745868179,62.1698671541492,37.379666001149,62.5184252847745,53.1219158030368,1
1998-10-01,2017.73686758632,52.3359014624748,60.2235130202628,47.6305154396659,60.8119900082979,51.9444304456584,1
1998-11-01,2114.31235433196,52.3518180718014,58.2851747836355,43.4691789041739,66.1710460547263,49.7402983932594,1
1998-12-01,2175.03583279408,52.6764271919068,53.7326475443146,45.2358674370722,62.5092291898419,42.5337858166602,1
1999-01-01,2166.91889356154,52.6838123097708,52.6426704056002,38.9985472632472,50.0609513282481,41.0347713170435,1
