"DATE","PN02020AM","PN02028AM"
Ene94,80.4290488164791,45.796971899437
Feb94,34.0185529893771,45.5277776577287
Mar94,85.7323600518091,47.4934704058996
Abr94,85.9676608946767,46.8952169419889
May94,77.26705486191,52.4773255848481
Jun94,80.5095504427243,55.8197131889335
Jul94,82.5246056888532,56.0683200403035
Ago94,49.4630091676899,60.0232161956187
Sep94,42.9884397719404,60.4414878884329
Oct94,86.734008444827,56.5117678651492
Nov94,67.6087639462653,59.6992297837097
Dic94,63.611606979006,57.766562668297
Ene95,112.199885225564,55.3897743904079
Feb95,44.7399674457997,55.7679465343683
Mar95,44.659302943101,59.3443440955769
Abr95,80.0528247433735,52.7433366613744
May95,80.0088293572379,63.5509771906586
Jun95,69.8485029647497,62.7331999974066
Jul95,65.319170450018,63.954793316693
Ago95,53.7612354295474,64.1080404272834
Sep95,47.247926210517,59.5774531497547
Oct95,79.8756988880563,57.6240884817877
Nov95,64.2675726021128,58.3845074673922
Dic95,61.6433420624359,56.4219940931724
Ene96,84.6709250652622,58.5251346202207
Feb96,61.9892034990538,55.8917805993796
Mar96,42.6098018789296,54.4373619991241
Abr96,79.3781075932613,53.7900606411418
May96,82.450569531624,62.2196575030019
Jun96,78.2188209699376,59.3192917665308
Jul96,74.5225317077255,63.2187519164916
Ago96,55.7961465097474,63.8276456400573
Sep96,49.9336157190592,62.2856729161912
Oct96,60.1464206059689,60.3320966529286
Nov96,82.4663129351732,59.7929973791639
Dic96,88.8453482491945,60.1248241005186
Ene97,85.4500538142814,60.2744616626692
Feb97,52.8639012714053,56.4105455932224
Mar97,54.2734453880813,54.6834304849883
Abr97,103.934841215839,58.2456759185295
May97,93.9055668359994,64.2451604091413
Jun97,73.8904818752721,65.6159666945626
Jul97,71.1654995432937,66.7636341300077
Ago97,58.7508063621861,65.810050667314
Sep97,60.6804008472863,66.610900236859
Oct97,77.6570839111022,65.187263295185
Nov97,65.7055574610001,63.4779109890474
Dic97,60.9589722099208,65.7437997006702
Ene98,56.8484999579885,64.8541218355179
Feb98,56.3166678763536,59.6996613660896
Mar98,55.3845467118922,60.9815612692216
Abr98,60.4193740559733,60.0307959481537
May98,68.9469839950064,63.7263599154609
Jun98,72.641499261278,64.1662178732897
Jul98,80.6519046860906,63.0490753610518
Ago98,71.7861725598978,64.2587598062934
Sep98,63.5697227195048,62.1698671541492
Oct98,85.2707677990553,60.2235130202628
Nov98,75.3019504052026,58.2851747836355
Dic98,80.9815014460311,53.7326475443146
Ene99,77.9677585592726,52.6426704056002
Feb99,65.7918647633187,50.6545405188354
Mar99,66.711652734064,53.7175467902587
Abr99,92.1188564820218,51.344634684341
May99,82.5522555434042,55.7788903489812
Jun99,86.6154161284431,56.6105135016336
Jul99,71.7066926517256,57.1785288095532
Ago99,60.9474906924893,58.590754739557
Sep99,60.8267114626656,61.5462870413502
Oct99,101.864506847272,60.5583518341581
