"DATE","PN01652XM","PN01654XM","PN01655XM","PN01660XM","PN01661XM","PN01662XM","PN01664XM"
Oct13,326.723573419343,1316.1847826087,22.014347826087,100.538260869565,307.676653804709,163.874665987565,839.405270668626
Nov13,320.719508268887,1275.82142857143,20.672619047619,93.8214285714286,300.4585687152,158.279156413,856.233433572952
Dic13,327.596783561628,1220.375,19.6595454545455,97.8972727272727,286.525783218627,159.083564172273,817.774698595145
Ene14,330.901553616597,1242.91304347826,19.8808695652174,94.9908695652174,269.215574373535,157.045128518478,769.288685973278
Feb14,324.282827364647,1300.975,20.86525,100.747,283.895685132745,165.68132683935,834.82444827274
Mar14,301.64054901214,1336.08333333333,20.7159523809524,100.60380952381,320.6151183984,177.625844725,917.532440667514
Abr14,302.662089111389,1299,19.7320454545455,102.132272727273,320.931257464809,184.297145940409,934.639739584982
May14,312.564319914149,1287.42045454545,19.3461363636364,102.003181818182,325.96264053115,179.769795913909,905.027649366755
Jun14,309.401838534308,1279.09523809524,19.892380952381,105.23,300.528556734933,168.008740942,900.703821319581
Jul14,322.657512210145,1310.96739130435,20.9326086956522,102.948260869565,277.898272886865,143.608569838696,862.256663411443
Ago14,317.805717253677,1295.09523809524,19.735619047619,96.5361904761905,264.1216637199,136.420398107,794.640476795457
Sep14,311.718473224892,1238.81818181818,18.4205909090909,93.4231818181818,256.178818798573,120.735298928045,762.458712806782
Oct14,305.606876245828,1222.48913043478,17.1632608695652,84.3969565217391,265.752879060261,119.302947768261,777.407448411687
Nov14,304.489757113077,1176.3,15.99775,75.685,260.32000197301,132.33640968765,761.3664225077
Dic14,292.069116007902,1198.85869565217,16.2702173913043,59.134347826087,274.028201654383,143.129304051391,739.976790416426
Ene15,265.576788929357,1249.45454545455,17.1918181818182,47.5290909090909,246.658857478027,141.672055967591,727.004372640254
Feb15,259.875545138655,1227.1875,16.81575,50.688,234.998992571175,137.29681058625,693.2435834879
Mar15,269.418922519685,1178.62954545455,16.24,47.8236363636364,234.938448957514,138.683647056818,675.686770607245
Abr15,273.904332568387,1197.96363636364,16.3565909090909,54.2109090909091,227.6272856802,136.572076688727,681.328600317182
May15,285.478620716135,1198.19285714286,16.8483333333333,59.2466666666667,224.6090523292,132.708533489,716.50235215
Jun15,264.580947488988,1181.50454545455,16.0745454545455,59.8195454545454,229.364261079036,134.675242290273,754.071125831264
Jul15,247.514018952722,1130.03695652174,15.0763043478261,51.1630434782609,228.977217647774,147.494046042913,703.025398208556
Ago15,232.61296945963,1118.30952380952,14.9411904761905,42.8676190476191,204.71495772,133.720860203,627.582573062667
Sep15,236.65048158356,1124.53181818182,14.7436363636364,45.5040909090909,195.342925622982,135.587870161227,577.410706725636
Oct15,236.597906103789,1159.24545454545,15.8125,46.2236363636364,203.259525036909,140.007852202909,596.059809905373
Nov15,217.720019830367,1085.70238095238,14.4383333333333,42.3852380952381,199.868287353467,137.432724821,588.130326331829
Dic15,210.617730533857,1068.46739130435,14.0991304347826,37.2073913043478,201.706994350157,137.874497026304,656.421593042626
Ene16,203.34222154071,1095.70238095238,14.092619047619,31.8361904761905,196.1064312928,135.258097065,641.062265665752
